"FMID","MarketName","xf","yf"
1007646,"Anoka County Growers/ St. Timothy Church Blaine",-93.252524,45.133040
1007636,"Anoka County Growers/Immaculate Conception Church",-93.245900,45.048900
1000306,"Anselma Farmers' and Artisans' Market",-75.641899,40.079648
1000405,"Anson County Farmers Market",-80.052567,34.940829
1008378,"Anthem Community Farmers Market",-112.123140,33.849663
1000434,"Anthony Farmers Market",-98.038000,37.152100
1004557,"Antigo Farmers Market",-89.152280,45.141880
1006586,"Antioch Farmers' Market at Somersville Towne Center",-121.844338,38.002918
1003071,"Antrim County Farmers Market",-85.209500,44.971800
1005207,"Appalachian Farmers' Market",-82.481900,36.418300
1000683,"Apple Country Farmers Market",-101.836400,33.577850
1000685,"Apple Country Farmers Market",-101.611862,33.666336
1006889,"Apple Valley Farmers' Market",-93.207200,44.730900
1000431,"Appleton Downtown Farm Market",-88.407030,44.262010
1000432,"Appleton Downtown Farm Market",-88.406203,44.261961
1008224,"Aptos Farmers Market at Cabrillo College",-121.924643,36.988442
1007130,"Aquidneck Grange Farmers Market",-71.284200,41.521000
1001738,"Aquidneck Growers Markets",-71.273288,41.529581
1004566,"ARAB FARMERS MARKET",-86.495876,34.320401
1001764,"Arcade Farmers' Market",-78.430829,42.533776
1000558,"Arcadia Valley Farmers' Market",-90.627862,37.594511
1002085,"Arcata Plaza Farmers' Market",-124.087000,40.868600
1002086,"Arcata Plaza Farmers' Market",-124.083000,40.866500
1001628,"Archwood Green Barns Farmers Market",-77.787500,38.851000
1007662,"Area Farmers Market",-97.425800,27.776300
1002798,"Arenac Conservation District Farmers Market",-83.961296,43.983428
1007843,"Arivaca Market",-111.319000,31.591000
1002314,"Ark City Farm & Art Market",-97.038600,37.060900
1005928,"Arkansas County/North Farmers Market",-91.548800,34.485100
1005927,"Arkansas County/South Farmers Market",-91.340100,34.282300
1002621,"Arkansas Home Grown Market I",-92.370900,34.756800
1002622,"Arkansas Home Grown Market II",-92.232900,34.795500
1002620,"Arkansas Home Grown Market III",-92.345200,34.740400
1001018,"Arkansas Local Food Network Online Farmers Market",-92.269599,34.743076
1002581,"Arlene Knudson",-85.292400,39.131300
1001167,"Arlington CFM",-122.275000,37.842100
1002611,"Arlington Farmers Market",-122.126456,48.193675
1007719,"Arlington Farmers Market",-71.152300,42.417900
1008236,"Arlington Farmers Market",-73.896360,41.681867
1008330,"Arlington Farmers Market",-77.083820,38.889646
1003571,"Arlington Heights Farmers Market",-87.980800,42.086000
1004802,"Armijo Village Growers' Market",-106.677160,35.052905
1006786,"Armory Farmers Market",-71.431725,41.813396
1001991,"Arnold Farmers Market",-90.341844,38.453347
1000294,"Arnold-Mountain Growers Farmers Market",-120.362000,38.239000
1001892,"Arroyo Grande Oak Park Plaza Farmers Market",-120.604495,35.130092
1001893,"Arroyo Grande Spencers CFM",-120.606000,35.122100
1002127,"Art N Harvest Market",-81.633200,29.648100
1006270,"Arthur Produce Auction",-88.451800,39.703300
1008855,"Artisan and Agriculture Market",-83.020856,42.831033
1008534,"Artisan Foodworks Thursday Evening Market",-85.953111,39.292351
1007842,"Artisan Gift and Farmers Market",-110.799000,32.257900
1005081,"Arvada Farmers Market",-105.081455,39.800138
20004,"Arvada Five Parks Farmers Market",-105.155000,39.848800
20005,"Asbury Fresh",-74.009400,40.216400
1004350,"Asbury Park Carousel Farmers' Market",-74.000779,40.219339
1000397,"Ashboro Downtown Farmers Market",-79.817500,35.704900
1002490,"Ashburn (Chicago) Farmers Market",-87.626000,41.885100
1003061,"Ashburn Farmers Market",-77.477914,39.023117
1007599,"Ashburnham Farmers Market",-71.909800,42.637200
1007600,"Ashby Farmers Market",-71.820800,42.677800
1003575,"Ashdown Farmers Market",-94.131000,33.674700
1003219,"Ashe County Farmers Market",-81.493514,36.402494
1006115,"Asheville City Market",-82.548600,35.593700
1000887,"Ashfield Farmers Market",-72.790325,42.525744
1007501,"ASHFORD FARMERS’ MARKET",-72.164600,41.866300
1005158,"Ashland Area Farmers Market",-90.890700,46.588200
1000395,"Ashland Farmers Market",-71.461125,42.259924
1008897,"Ashland Farmers Market",-77.483403,37.758687
1004758,"Ashland Saturday Market",-122.714000,42.197400
1007787,"Ashland Tuesday Market",-122.692000,42.194500
1000465,"Ashland United Methodist Church Farmers Market",-81.127900,34.041200
1003642,"Ashley County Farmers Market",-91.966400,33.135300
1006964,"Ashley Farmers Market",-99.368400,46.034400
1000836,"Ashley Valley Farmers' Market (Vernal)",-109.524092,40.455747
1008599,"Ashmont/Peabody Square Farmers Market",-71.064357,42.285584
1004530,"Ashotn Farmers Market",-111.446000,44.071400
20006,"Ashtabula Farmers Market",-80.799800,41.899500
1005837,"Aspen Saturday Market",-106.817000,39.189400
1000086,"Astoria Greenmarket",-73.932500,40.767700
1003661,"Astoria Sunday Market",-123.830145,46.189282
1001565,"ASU Farmers Market",-111.934907,33.418338
1001245,"ASU Regional Farmers Market",-90.667386,35.840745
1004818,"ASUEP Natchez Farmers Market",-91.384921,31.556011
20007,"ATACs Capitan Farmers Market",-105.573000,33.545500
20008,"Atascadero Farmers Market",-120.664000,35.485800
1003911,"Atascadero Farmers Market",-120.667000,35.488200
1001294,"Atascadero Main Street CFM",-120.669000,35.490100
1002984,"Atchison Farmers Market",-95.119747,39.560806
1000448,"Athen Farmers Market",-85.235000,42.088500
1000277,"Athens Farmers Market",-86.973500,34.801300
1003223,"Athens Farmers Market",-89.723000,39.960200
1004116,"Athens Farmers Market",-83.412972,33.964184
1004117,"Athens Farmers Market",-83.376069,33.959771
1005086,"Athens Farmers Market",-82.057915,39.335982
1000297,"Athens Locally Grown",-83.383849,33.956318
1002987,"Atherton Market",-80.861270,35.208440
1000750,"Athol Farmers Market",-72.215837,42.589284
1007307,"Atkinson NH Farmers Market",-71.190087,42.855550
1006095,"Atlanta State Farmers Market",-84.400900,33.616800
1000708,"Atlantic City Farmers' Market",-74.425600,39.363000
1000464,"Atlantic Farmers Market",-94.996500,41.404300
1006303,"Atlantic Highlands Chamber of Commerce Farmers' Market",-74.038900,40.412800
1000092,"Atlas Park Greenmarket",-73.870053,40.709272
1001992,"Atmore Farmers Market",-87.492600,31.024300
1001503,"Attala County Farmers Market",-89.580100,33.063700
1004743,"Attleboro Farmers Market",-71.285608,41.944544
1002303,"Attleboro/Our Lady of LaSalette",-71.260330,41.931083
1003005,"Atwater Village Farmers' Market",-118.260300,34.118380
1000655,"Auburn Dewitt Center Farmers Market",-121.098000,38.921800
1006311,"Auburn Farmer's Market",-83.828000,34.013700
1002377,"Auburn Farmers Co-op Market Inc.",-76.570350,42.933810
1001349,"Auburn Farmers Market",-85.051400,41.360600
1003772,"Auburn Farmers Market",-95.815600,38.910100
1006712,"Auburn Farmers Market",-71.835800,42.204700
1006410,"Auburn Hills Farmers Market",-83.222500,42.633000
1003115,"Auburn International Farmers Market",-122.231697,47.306682
1000662,"Auburn Lake of Pines Farmers Market",-121.051000,39.021400
1001569,"Auburn Marketplace Farmers Market",-121.068000,38.900700
1000736,"Auburn Old Town Farmers Market",-121.076000,38.896100
1003923,"Audubon Farmers Market",-93.237129,45.016819
1005375,"Audubon Farmers Market",-94.937500,41.738600
1003866,"Augsburg Farmers Market",-93.240700,44.966500
1004300,"Augusta Farmers' Market at Mill Park",-69.772500,44.307400
1000870,"Augusta State Farmer's Market",-81.964125,33.462514
1003304,"Aurora Community Farmers Market",-97.996542,40.858744
1004689,"Aurora Farmers Market",-104.867000,39.721500
1000559,"Aurora Local Farmer's Market - Summer Market",-93.720373,36.969899
1005604,"Aurora Local Farmers' Market",-93.716690,36.970630
1001555,"Aurora's Farmers Market Downtown",-88.308833,41.761885
1001556,"Aurora's Farmers Market East",-88.248250,41.743448
1001567,"Aurora's Farmers Market West",-88.362363,41.764810
1001695,"Ausable Valley Farmers Market",-73.667600,44.442700
1002491,"Austin (Chicago) Farmers Market",-87.626000,41.885100
1004760,"Austin Farmer's Market",-92.969830,43.666558
1008763,"Austin Farmer's Market - Winter Indoor Market",-92.990517,43.684811
1007654,"Austin Farmers Market Association III",-97.700300,30.229800
1007655,"Austin Farmers Market Association VI",-97.693000,30.332000
1005376,"Ava Farmers Market",-89.494600,37.888300
1005227,"Ava Growers' Market",-92.414887,37.108386
1003539,"Aventura mall market",-80.173620,25.870240
1007033,"Avery County Farmers Market",-81.921900,36.082200
1003297,"Avila Beach Farmers Market",-120.733000,35.178600
1000898,"Avon Market Days",-77.733822,42.910709
20009,"Avon Park Farmers Market",-81.506200,27.595900
1007131,"Avondale Farmers Market",-71.830300,41.334100
1001557,"Avondale Farmers Market at Friendship Park",-112.321419,33.462255
1000502,"Awendaw Farmers and Fresh Seafood Market",-79.644000,32.990100
1003520,"AYA Community Markets",-77.017550,38.879283
1007435,"Ayer Farmers Market",-71.589400,42.560000
1006907,"Azalea Street Marketplace",-93.290500,30.854000
1004803,"Aztec Farmers' Market",-108.009900,36.826920
1005234,"B2B (Back to Basics) Farmers' Market",-94.442577,36.652129
1005235,"B2B (Back to Basics) Farmers' Market",-94.426596,36.639615
1002624,"Back Mountain Farmers Market",-75.963000,41.332700
1005221,"Badseed \"Funky\" Farmers' Market",-94.580237,39.089943
1000029,"Bagley Area Farmrs Market",-95.397000,47.521800
1005228,"Bagnell Dam Farmers' Market",-92.641700,38.197300
1004633,"Bainbridge Island Farmers' Market",-122.519070,47.626015
1003411,"Baker City Farmers Market",-117.828000,44.781400
1000538,"Bakersfield Downtown St Faire",-119.019000,35.378200
1000540,"Bakersfield Health Dept CFM",-118.968000,35.383000
1003134,"Bakersfield Mt. Vernon Farmers Market",-119.088000,36.203000
1001448,"Bakersfield Wall St. Alley Farmers Market",-119.023000,35.386700
1001017,"Bakersville Farmers Market",-82.157200,36.015900
1007121,"BALD EAGLE VALLEY METHODIST CHURCH",-77.839000,40.963000
1004882,"Baldwin City Farmers' Market",-95.188036,38.774763
20010,"Baldwin Farmers Market",-73.612800,40.642400
20011,"Baldwin Lake Vegetable Market",-116.811000,34.289100
1003720,"Baldwin Park Farmers Market",-117.965000,34.085600
1008721,"Ballard County Farmers' Market",-88.969956,37.073591
1003048,"Ballard Farmers Market",-122.384380,47.667273
1006740,"Ballston Farmers Market",-77.116500,38.882600
1006792,"Ballston FRESHFARM Market",-77.112179,38.881112
1003662,"Ballston Spa Farmers Market",-73.849947,43.002246
1003814,"Balsam Lake Farmers Market",-92.457100,45.451100
1006519,"Baltimore County Farmers' Market",-76.626400,39.439800
1003025,"Baltimore Farmers Market",-82.617760,39.845660
1000790,"Baltimore Farmers' Market",-76.621478,39.292900
1001027,"Bancroft Street Farmers Market",-95.930000,41.233900
1008053,"Bangor Farmers Market",-86.109378,42.312608
20012,"Bar Harbor Eden Farmers Market",-68.204300,44.383000
1002881,"Barberville Family Farm Swap & Market",-81.429977,29.180342
1004549,"Barbour County Community Garden Market",-80.035315,39.146171
1001612,"Barbour County Farmers Market",-85.143100,31.892900
1007268,"Bardstown Farmers Market",-85.465096,37.810079
1008466,"Barham Cattle Company & Family Farm",-94.372250,39.325678
1003082,"Barker Farmers Market",-78.554802,43.330116
1005428,"Barker's Island Farmers Market",-92.062060,46.722230
1001604,"Barnegat Farmers Market",-74.222500,39.753600
1003211,"Barnesville Farmers Market",-81.173900,39.988100
1000353,"Barnesville/Lamar County Farmers Market",-84.157300,33.051500
20013,"Barr Street Market",-85.135900,41.079600
1002354,"Barre Farmer's Market",-72.105138,42.421809
1000172,"Barre Farmers Market",-72.498436,44.194021
1003976,"Barren County Regional Farmers' Market",-85.915280,36.996040
1002269,"Barrington Farmers Market",-88.134800,42.152400
1006364,"Barrington Farmers Market",-71.302200,41.723100
1007010,"Barrington Farmers Market",-71.046900,43.222800
1003550,"Barry University Green Market",-80.196700,25.878500
1002936,"Barstow Market Festival Farmers Market",-117.023000,34.898800
1000106,"Bartel-Pritchard Square Greenmarket",-73.979800,40.661200
1002564,"Bartlesville Farmers Market",-95.976800,36.746500
1006441,"Bartlett Farmers Market",-88.184600,41.989900
1008194,"Bartlett Station Farmers Market",-89.872467,35.197317
20014,"Barton Creek Farmers Market",-97.755700,30.322200
20015,"Barton Creek Farmers Market",-97.715700,30.324400
1003335,"Basalt Sunday Market",-107.036000,39.368800
1006435,"Basin Farmers Market",-108.039000,44.376500
20016,"Bass Lake Center Farmers Market",-93.445000,45.065800
1004987,"Bass River Farmers Market",-70.185364,41.665833
1000436,"Bastrop 1832 Farmers Market",-97.312067,30.110719
1005439,"Batavia Farmers Market",-88.310444,41.849249
1006462,"Bath County Farmers Market",-79.833416,38.000452
1001325,"Bath County Farmers' Market",-83.720326,38.138877
1007420,"Bath Farmers Market",-84.449093,42.816181
1007421,"Bath Farmers Market",-84.444215,42.793582
1002294,"Bath Saturday Farmers Market",-75.512300,42.946700
1007305,"Bath Winter and Summer Market",-69.831800,43.914100
1003913,"Batten's Farmers Market and Davie Agri-Tourism Center",-80.233914,26.056390
1001201,"Battle Creek Farmers Market",-85.185156,42.319796
1001203,"Battle Creek Farmers Market",-85.291243,42.343376
1003806,"Battlefield Farmers Market",-85.247992,34.848759
1004026,"Baxter Farmers Market",-93.149600,41.825100
1000919,"Bay County Farmers Market",-83.888100,43.589500
1003239,"Bay County Farmers Market",-85.633800,30.174800
1000057,"Bay Ridge Greenmarket",-74.032100,40.617000
1005817,"Bayberry Plaza Farmers Market",-76.225400,43.138900
20017,"Bayfield Farmer's Market",-107.598000,37.225600
1003728,"Bayfield Lion's Club Farmers Market",-90.818240,46.810767
1004053,"Bayou City Farmers Market",-95.422900,29.734200
1007808,"Bayou Teche Market",-91.826700,30.124100
1004003,"Bayport Farmers Market",-92.779400,45.019000
1006074,"Bayside Farmers Market",-84.728400,45.868900
1001381,"Bayview Farmers Market",-122.461100,48.006210
1007020,"Bayville Farmers Market",-73.549200,40.905300
20018,"Baywood Los Osos Farmers Market",-120.841000,35.328200
1003912,"Baywood/Los Osos Certified Farmers Market",-120.840899,35.328154
20019,"Be Local Winter Farmer's Market",-105.078000,40.587800
1001852,"Beaches Green Market",-81.397502,30.314635
1006718,"Beacon Facility Farmer's Market",-94.506628,39.009088
1006359,"Beacon Farmers Market",-73.986534,41.504723
20020,"Bear Creek Farmers Market",-88.210800,34.510800
1005160,"Beaufort Downtown Farmers Market",-80.671800,32.432200
1004546,"Beaumont Farmers Market",-94.105500,30.078000
1001275,"Beaumont Hospital, Royal Oak Farmers Market",-83.192591,42.514185
1005327,"Beautiful Day Farmers and Artists Market",-83.447000,35.426300
1001827,"Beaver County Fruit Company I",-80.323900,40.719900
1008767,"Beaver Dam Farmer's Market",-86.876067,37.401335
1001828,"Beaver Falls Farmers Market",-80.320700,40.759600
1007999,"Beaverdale Farmers Market",-93.677377,41.626479
1001403,"Beaverton Farmers Market",-122.805047,45.484424
1008103,"Beaverton Farmers Market - Wednesday",-122.805120,45.483889
1000148,"Bedford Farmers Market",-86.483881,38.861565
1000149,"Bedford Farmers Market",-86.495211,38.859794
1005443,"Bedford Farmers Market",-79.525212,37.333732
1001609,"Bedford Farmers' Market",-71.281500,42.491800
1001912,"Bedford Farmers' Market, Inc.",-71.529425,42.948194
20021,"Bedner's Farm Fresh Market",-80.205100,26.491700
1005936,"Bee Hive Farmers' Market",-90.384900,36.758800
1000497,"Beechmont Open Air Market",-85.767170,38.183620
1006161,"Beets, Beats, and Eats Farmers Market",-83.443812,42.852734
1005696,"Beginning May 11, 2011",-91.075300,40.040600
1002423,"Bel Air Farmers' Market",-76.351010,39.535280
1004757,"Belchertown Farmers Market",-72.401500,42.277900
1003851,"Belding Farmer Market",-85.294100,43.006600
1004782,"Belen Farmers' Market",-106.775200,34.662780
20022,"Belfair Farmers Market",-122.827000,47.451500
1008797,"Belfast Farmers' Market",-69.013968,44.429214
1004852,"Belgrade Lions Farmers Market",-111.185000,45.773200
1007195,"Belington Farmers Market",-79.935700,39.025100
1007653,"Bell County Farmers Market Association I",-97.461900,31.055900
1007182,"Bell County Farmers Market Association II",-97.342000,31.094500
1004824,"Bella Vista CFM",-122.235000,40.637800
1003347,"Bella Vista Farmers Market",-94.241000,36.471400
1001639,"Belle Plaine Farmers Market",-92.278200,41.897100
1001076,"Belleair's Market on the Mall",-82.803500,27.935100
20023,"Bellefonte DE Farmers Market",-75.499400,39.766600
1007114,"Bellefonte FM",-77.778000,40.912200
1001082,"Belleville Farmers Market",-83.490700,42.208300
1001176,"Belleville Farmers' Market & Livestock",-77.722900,40.604600
1008875,"Belleville Old Town Market",-89.985586,38.513605
1005468,"Bellevue Area Farmers Market",-90.455000,42.262000
1001204,"Bellevue Farmers Market",-85.018142,42.445938
1002917,"Bellevue Farmers Market",-122.202354,47.626571
